,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2023-04-28,133.45,136.93,133.45,135.43,135.43,2032773,0.0,1.0
1,2023-04-27,132.96,133.86,131.33,133.25,133.25,1125334,0.0,1.0
2,2023-04-26,128.15,133.84,128.11,133.12,133.12,2996440,0.0,1.0
3,2023-04-25,136.54,136.78,129.72,130.37,130.37,2154945,0.0,1.0
4,2023-04-24,138.8,139.52,138.09,138.48,138.48,856654,0.0,1.0
5,2023-04-21,136.21,138.56,136.21,138.5,138.5,1533653,0.0,1.0
6,2023-04-20,136.86,137.05,134.873,135.53,135.53,1325862,0.0,1.0
7,2023-04-19,138.37,139.615,137.68,138.93,138.93,1178444,0.0,1.0
8,2023-04-18,140.73,140.99,138.21,139.0,139.0,1218852,0.0,1.0
9,2023-04-17,139.62,140.21,138.89,140.19,140.19,1115514,0.0,1.0
10,2023-04-14,140.36,141.19,138.93,139.2,139.2,954261,0.0,1.0
11,2023-04-13,139.18,141.48,138.99,141.28,141.28,1030933,0.0,1.0
12,2023-04-12,140.19,141.355,137.82,138.36,138.36,1058466,0.0,1.0
13,2023-04-11,138.87,139.93,138.15,138.52,138.52,1241084,0.0,1.0
14,2023-04-10,137.38,138.08,135.86,138.02,138.02,1104566,0.0,1.0
15,2023-04-06,138.01,138.125,136.59,138.03,138.03,1206189,0.0,1.0
16,2023-04-05,137.74,139.27,136.674,138.09,138.09,2312060,0.0,1.0
17,2023-04-04,138.25,139.11,137.53,138.21,138.21,1778667,0.0,1.0
18,2023-04-03,137.42,138.09,136.005,137.86,137.86,1551755,0.225,1.0
19,2023-03-31,135.4,138.73,134.86,138.34,138.114584495057,2579848,0.0,1.0
20,2023-03-30,135.27,135.54,133.32,134.49,134.270857804975,1468195,0.0,1.0
21,2023-03-29,133.95,134.24,132.6301,133.85,133.63190064091,1002779,0.0,1.0
22,2023-03-28,132.54,133.31,132.0108,132.63,132.41388854691,942618,0.0,1.0
23,2023-03-27,133.58,134.62,132.73,133.07,132.853171597205,1216331,0.0,1.0
24,2023-03-24,130.14,131.98,128.22,131.96,131.744980265778,1571589,0.0,1.0
25,2023-03-23,134.66,135.07,129.3721,131.13,130.916332693631,3297906,0.0,1.0
26,2023-03-22,136.96,137.535,133.6,133.73,133.512096172647,1268528,0.0,1.0
27,2023-03-21,135.56,137.42,135.215,137.01,136.786751638484,1392258,0.0,1.0
28,2023-03-20,133.14,135.38,132.73,134.54,134.320776333418,1704510,0.0,1.0
29,2023-03-17,136.89,136.92,132.73,133.18,132.962992359778,2045953,0.0,1.0
30,2023-03-16,133.97,137.05,132.37,136.82,136.597061230402,1789312,0.0,1.0
31,2023-03-15,135.93,135.93,132.2,134.03,133.811607343303,2016723,0.0,1.0
32,2023-03-14,138.44,139.6,136.43,138.4,138.174486729189,1255370,0.0,1.0
33,2023-03-13,135.55,138.28,134.76,136.69,136.467273056451,1771364,0.0,1.0
34,2023-03-10,139.19,139.44,134.71,135.72,135.498853604664,1895992,0.0,1.0
35,2023-03-09,141.26,142.0,138.3,138.93,138.70362313068,1328860,0.0,1.0
36,2023-03-08,140.15,141.58,139.375,140.9,140.67041315132,1136076,0.0,1.0
37,2023-03-07,143.56,143.66,140.23,140.33,140.101341927074,1088388,0.0,1.0
38,2023-03-06,143.35,145.435,142.68,143.23,142.996616576746,1153577,0.0,1.0
39,2023-03-03,142.54,144.44,141.98,143.93,143.695475974943,1147878,0.0,1.0
40,2023-03-02,136.3,141.72,136.08,141.67,141.439158489336,1879178,0.0,1.0
41,2023-03-01,138.58,139.99,136.25,137.51,137.28593692291,3133003,0.0,1.0
42,2023-02-28,141.75,143.38,141.39,141.97,141.738669659992,2342545,0.0,1.0
43,2023-02-27,142.88,143.765,141.81,142.18,141.948327479451,1149572,0.0,1.0
44,2023-02-24,141.46,142.2404,138.72,141.2,140.969924321976,1522068,0.0,1.0
45,2023-02-23,142.09,143.58,141.31,143.2,142.966665459681,1511552,0.0,1.0
46,2023-02-22,143.37,143.44,140.95,142.08,141.848490422566,1691273,0.0,1.0
47,2023-02-21,146.6,146.65,142.63,143.42,143.186306984828,1693824,0.0,1.0
48,2023-02-17,147.26,148.9418,146.49,148.26,148.018420538074,1194846,0.0,1.0
49,2023-02-16,148.81,150.16,147.23,148.28,148.038387949451,1101687,0.0,1.0
50,2023-02-15,152.22,152.325,150.3,151.75,151.50273382337,982411,0.0,1.0
51,2023-02-14,154.34,155.7499,151.45,153.04,152.790631857189,895375,0.0,1.0
52,2023-02-13,153.27,154.66,152.01,154.6,154.348089944599,925379,0.0,1.0
53,2023-02-10,151.8,152.99,151.07,152.55,152.301430278452,934821,0.0,1.0
54,2023-02-09,155.67,156.3204,151.54,152.38,152.131707281747,852195,0.0,1.0
55,2023-02-08,153.64,155.17,153.225,154.42,154.168383242206,1073479,0.0,1.0
56,2023-02-07,151.49,154.96,151.13,154.51,154.258236593403,1126669,0.0,1.0
57,2023-02-06,152.73,154.4,151.36,152.24,151.991935402107,771456,0.0,1.0
58,2023-02-03,153.17,155.42,152.735,154.55,154.298171416157,992821,0.0,1.0
59,2023-02-02,156.66,157.31,154.77,155.5,155.246623456567,1725558,0.0,1.0
60,2023-02-01,153.31,156.29,151.72,155.45,155.196704928124,1499912,0.0,1.0
61,2023-01-31,151.61,153.46,150.21,152.08,151.832196111091,1995389,0.0,1.0
62,2023-01-30,154.5,155.52,150.88,151.74,151.492750117681,1401052,0.0,1.0
63,2023-01-27,155.75,156.96,154.81,155.69,155.436313864649,646223,0.0,1.0
64,2023-01-26,156.97,157.66,155.19,156.23,155.975433971829,776264,0.0,1.0
65,2023-01-25,154.0,156.545,152.83,155.76,155.506199804468,736164,0.0,1.0
66,2023-01-24,156.27,158.51,154.46,155.69,155.436313864649,1121545,0.0,1.0
67,2023-01-23,156.0,159.59,155.67,159.06,158.800822681682,974865,0.0,1.0
68,2023-01-20,153.5,156.01,152.41,155.92,155.665939095485,1343724,0.0,1.0
69,2023-01-19,153.58,154.92,152.14,152.87,152.620908860484,1017395,0.0,1.0
70,2023-01-18,156.26,158.16,153.64,154.07,153.818953543108,1150652,0.0,1.0
71,2023-01-17,156.68,158.11,155.03,155.4,155.146786399681,1602206,0.0,1.0
72,2023-01-13,155.54,157.28,154.5,156.92,156.664309664337,921756,0.0,1.0
73,2023-01-12,158.16,158.6,155.5825,156.49,156.235010319731,809123,0.0,1.0
74,2023-01-11,155.23,158.58,155.23,158.17,157.912272875403,1241899,0.0,1.0
75,2023-01-10,150.18,155.55,148.75,155.23,154.977063402976,1565749,0.0,1.0
76,2023-01-09,149.69,151.28,147.198,147.47,147.229707788681,1269574,0.0,1.0
77,2023-01-06,154.36,154.64,143.01,147.67,147.429381902451,2444990,0.0,1.0
78,2023-01-05,150.0,153.07,148.77,152.11,151.862147228157,1714636,0.0,1.0
79,2023-01-04,151.65,153.04,150.24,151.67,151.422864177861,1247420,0.0,1.0
80,2023-01-03,151.96,153.13,148.47,150.04,149.795520150632,1414284,0.0,1.0
81,2022-12-30,149.76,149.85,147.83,149.65,149.406155628779,699759,0.225,1.0
82,2022-12-29,149.61,151.9,149.02,151.09,150.617354822034,854392,0.0,1.0
83,2022-12-28,149.78,151.37,147.64,148.09,147.626739530048,784312,0.0,1.0
84,2022-12-27,149.23,149.81,147.3,149.55,149.082172305481,879543,0.0,1.0
85,2022-12-23,149.01,150.25,148.22,149.23,148.763173341002,779426,0.0,1.0
86,2022-12-22,148.41,149.19,146.61,149.01,148.543861552924,1166795,0.0,1.0
87,2022-12-21,148.94,150.27,147.89,150.09,149.620483058038,1248131,0.0,1.0
88,2022-12-20,147.27,149.175,145.88,147.93,147.467240047809,1548169,0.0,1.0
89,2022-12-19,148.91,149.13,146.24,146.95,146.490305719093,1277354,0.0,1.0
90,2022-12-16,149.61,149.95,147.905,149.3,148.832954364482,2436691,0.0,1.0
91,2022-12-15,152.81,153.04,150.24,150.86,150.388074316315,1483896,0.0,1.0
92,2022-12-14,157.26,158.44,154.16,154.81,154.325717784096,1344449,0.0,1.0
93,2022-12-13,159.2,160.265,156.76,157.66,157.166802311482,1534443,0.0,1.0
